,Category,Subject,Link
0,"Art, Design and Architecture",Architecture,https://guides.lib.monash.edu/architecture
1,"Art, Design and Architecture","Art, Design and Architecture Theory",https://guides.lib.monash.edu/art-design-architecture-theory
2,"Art, Design and Architecture",Communication Design,https://guides.lib.monash.edu/design
3,"Art, Design and Architecture",Digital images,https://guides.lib.monash.edu/digital-images
4,"Art, Design and Architecture",Film and Screen Studies,https://guides.lib.monash.edu/film-screen-studies
5,"Art, Design and Architecture",Fine Art,https://guides.lib.monash.edu/fine-art
6,"Art, Design and Architecture",Industrial Design,https://guides.lib.monash.edu/industrial-design
7,"Art, Design and Architecture",Interaction design,https://guides.lib.monash.edu/interaction-design
8,"Art, Design and Architecture",Multimedia and Digital Arts,https://guides.lib.monash.edu/multimedia-digital-arts
9,"Art, Design and Architecture",Urban Planning and Design,https://guides.lib.monash.edu/UPD
10,Arts,Anthropology,https://guides.lib.monash.edu/anthropology
11,Arts,Archaeology,https://guides.lib.monash.edu/archaeology
12,Arts,Asian Collections,https://guides.lib.monash.edu/ASRC
13,Arts,Bioethics,https://guides.lib.monash.edu/bioethics
14,Arts,Chinese studies,https://guides.lib.monash.edu/chinese
15,Arts,Classics,https://guides.lib.monash.edu/classics
16,Arts,Communications and Media,https://guides.lib.monash.edu/communications-media
17,Arts,Criminology,https://guides.lib.monash.edu/criminal-justice
18,Arts,Environment and sustainability,https://guides.lib.monash.edu/environ-sustain
19,Arts,European Studies,https://guides.lib.monash.edu/european-studies
20,Arts,Film and Screen Studies,https://guides.lib.monash.edu/film-screen-studies
21,Arts,French Studies,https://guides.lib.monash.edu/french-studies
22,Arts,Geography,https://guides.lib.monash.edu/geography
23,Arts,German Studies,https://guides.lib.monash.edu/german-studies
24,Arts,History,https://guides.lib.monash.edu/history
25,Arts,Holocaust and genocide studies,https://guides.lib.monash.edu/holocaust
26,Arts,Indigenous Cultures & Histories,https://guides.lib.monash.edu/australian-indigeneous-studies
27,Arts,Indonesian Studies,https://guides.lib.monash.edu/indonesian
28,Arts,International Development,https://guides.lib.monash.edu/international-development
29,Arts,International Studies,https://guides.lib.monash.edu/international-studies
30,Arts,Italian Studies,https://guides.lib.monash.edu/italian-studies
31,Arts,Japanese studies,https://guides.lib.monash.edu/japanese-studies
32,Arts,Japanese Teaching Collection,https://guides.lib.monash.edu/mcjle
33,Arts,Jewish studies,https://guides.lib.monash.edu/jewish-studies
34,Arts,Journalism,https://guides.lib.monash.edu/journalism
35,Arts,Korean Studies,https://guides.lib.monash.edu/korean
36,Arts,Linguistics,https://guides.lib.monash.edu/linguistics
37,Arts,Literary Studies,https://guides.lib.monash.edu/literary-studies
38,Arts,Music,https://guides.lib.monash.edu/music
39,Arts,Philosophy,https://guides.lib.monash.edu/philosophy
40,Arts,Politics and International Relations,https://guides.lib.monash.edu/politics
41,Arts,Primary sources for humanities,https://guides.lib.monash.edu/primary-sources
42,Arts,Religious Studies,https://guides.lib.monash.edu/religion
43,Arts,Slavic & Eastern European Studies,https://guides.lib.monash.edu/slavic-studies
44,Arts,Sociology,https://guides.lib.monash.edu/sociology
45,Arts,Spanish and Latin American studies,https://guides.lib.monash.edu/spanish
46,Arts,Theatre and Performance studies,https://guides.lib.monash.edu/theatre-performance
47,Arts,Tourism,https://guides.lib.monash.edu/tourism
48,Arts,Translation and Interpreting Studies,https://guides.lib.monash.edu/translation
49,Arts,Women's & Gender Studies,https://guides.lib.monash.edu/womens-studies
50,Business and Economics,Accounting,https://guides.lib.monash.edu/accounting
51,Business and Economics,Banking and Finance,https://guides.lib.monash.edu/banking-finance
52,Business and Economics,Commercial law,https://guides.lib.monash.edu/commercial-law
